Data Column	Flag Name	Start Time	End Time	Time Steps
Spd40mN	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Spd40mS	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Spd80mNStd	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Spd80mSStd	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Spd60mNStd	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Spd60mSStd	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Spd40mNStd	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Spd40mSStd	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Spd80mNMax	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Spd80mSMax	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Spd60mNMax	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Spd60mSMax	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Spd40mNMax	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Spd40mSMax	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Dir78mS	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Dir78mSStd	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Dir58mS	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Dir58mSStd	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Dir38mS	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Dir38mSStd	Icing	30/10/2017 01:40	30/10/2017 07:00	32
Dir58mS	Invalid	26/12/2016 07:00	09/02/2018 21:30	59127
Dir78mS	Invalid	11/08/2017 02:10	09/02/2018 21:30	26324
Spd80mS	Invalid	04/09/2017 00:30	09/02/2018 21:30	22878
Spd80mS	Synthesized	04/09/2017 00:30	09/02/2018 21:30	22878
